ID,Kategoria,Blocker,Szczegółowy opis,Plik / referencja,Akcja do podjęcia,Priorytet,Status,Komentarz
1,A. Go-live config,Live Clerk keys,"wrangler.jsonc nadal zawiera pk_test_Y3V0ZS1zYXdmbHktNTcuY2xlcmsuYWNjb3VudHMuZGV2JA. Public publishable key jest inline'owany w budowie — przy deployu na produkcję używane są klucze test mode, co oznacza że cała autoryzacja idzie do testowej instancji Clerk (inne user pool, inne sesje, brak maili transakcyjnych). Poza tym CLERK_SECRET_KEY jako sekret serwerowy musi zostać podmieniony na live. W Clerk dashboard trzeba też dodać allowed origins dla *.wyjazdo.pl żeby subdomeny się autoryzowały.",wrangler.jsonc:19,"Zastąp pk_test_* live publishable key bezpośrednio w wrangler.jsonc; ustaw CLERK_SECRET_KEY (live) przez: wrangler secret put CLERK_SECRET_KEY. W Clerk dashboard dodaj *.wyjazdo.pl do allowed origins.",P0,,
2,A. Go-live config,Live Stripe keys + webhooks,"wrangler.jsonc:20 ma pk_test_51TM5lkE76RBnluFL... Poza samą podmianą publishable key na live, trzeba utworzyć DWA osobne webhook endpoints w Stripe Dashboard (Platform + Connect) — z osobnymi signing secrets. Kod używa ich niezależnie w src/app/api/stripe/webhook/route.ts (STRIPE_WEBHOOK_SECRET) oraz src/app/api/stripe/connect-webhook/route.ts (STRIPE_CONNECT_WEBHOOK_SECRET). Dodatkowo Stripe Connect Express accounts wymagają konkretnych capabilities — jeśli konto platformy nie ma ich włączonych w trybie live, organizer onboarding się wywali.",wrangler.jsonc:20; src/lib/stripe-connect.ts,"1) Podmień pk_test_* na pk_live_* w wrangler.jsonc. 2) W Stripe Dashboard (live) utwórz 2 webhook endpoints: https://wyjazdo.pl/api/stripe/webhook i /api/stripe/connect-webhook. 3) Skopiuj ich signing secrets do Cloudflare: wrangler secret put STRIPE_WEBHOOK_SECRET oraz STRIPE_CONNECT_WEBHOOK_SECRET. 4) Ustaw STRIPE_SECRET_KEY (live). 5) Zweryfikuj że live account ma aktywne capabilities: card_payments, transfers, blik_payments, p24_payments.",P0,,
3,A. Go-live config,Komplet sekretów w Cloudflare,"Aplikacja czyta sekrety przez getCloudflareContext().env.* runtime'owo — nie ma startup guardu. Jeśli brakuje któregoś, objawi się dopiero na pierwszym requeście (np. pierwsza rejestracja rzuci 500 bo STRIPE_SECRET_KEY jest undefined). Wymagane sekrety: CLERK_SECRET_KEY, STRIPE_SECRET_KEY, STRIPE_WEBHOOK_SECRET, STRIPE_CONNECT_WEBHOOK_SECRET, PARTICIPANT_AUTH_SECRET (64-char hex dla HMAC magic linków), RESEND_API_KEY, CRON_SECRET.","worker.ts:31 (CRON_SECRET); src/lib/participant-auth.ts:129 (PARTICIPANT_AUTH_SECRET); src/lib/email/client.ts (RESEND_API_KEY)","Uruchom: wrangler secret list — sprawdź że wszystkie 7 sekretów istnieje. Brakujące wgraj przez wrangler secret put. PARTICIPANT_AUTH_SECRET generuj: openssl rand -hex 32. CRON_SECRET: openssl rand -hex 16.",P0,,
4,A. Go-live config,DNS i subdomeny,"Routing opiera się na middleware.ts:10 które odczytuje host header i porównuje do NEXT_PUBLIC_ROOT_DOMAIN (wyjazdo.pl w wrangler.jsonc:18 — już poprawne). Żeby to zadziałało w live, *.wyjazdo.pl musi być routowane do Workera (wildcard custom domain w Cloudflare). Bez tego subdomena.wyjazdo.pl = NXDOMAIN.",src/middleware.ts:5; wrangler.jsonc:18,"W Cloudflare Dashboard -> Workers Routes: dodaj route *.wyjazdo.pl/* i wyjazdo.pl/* wskazujące na workera wyjazdo. Upewnij się że w Cloudflare DNS istnieje wildcard CNAME *.wyjazdo.pl.",P0,,
5,A. Go-live config,Resend sender domain,"Maile transakcyjne (potwierdzenia, magic links, przypomnienia) idą przez Resend. Domena nadawcy (np. no-reply@wyjazdo.pl) musi być zweryfikowana w Resend (SPF + DKIM + DMARC). Brak weryfikacji = maile lądują w SPAMie lub są odrzucane. Kod (src/lib/email/client.ts:10) już rzuca błąd gdy klucz nie jest ustawiony, więc cichy fail nie zachodzi — ale weryfikacja domeny i poprawny RESEND_API_KEY na live to nadal wymagana akcja zewnętrzna.",src/lib/email/client.ts,"1) W Resend Dashboard zweryfikuj domenę wyjazdo.pl (SPF, DKIM rekordy w Cloudflare DNS). 2) Ustaw RESEND_API_KEY (live) w Cloudflare secrets. 3) Sprawdź że src/lib/email/client.ts używa ustalonego nadawcy z zweryfikowanej domeny.",P0,,
6,B. Legal,Re-seed wersji dokumentów na live D1,"src/lib/legal/seed-documents.ts ma już prawdziwe dane JDG (Narrative Impact Jacek Wasilewski, NIP, REGON, adres, kontakt RODO) — placeholderów [NAZWA FIRMY] itd. już NIE MA. Ale w tabeli legal_documents na live D1 może wciąż siedzieć stara wersja z placeholderami z wcześniejszego seedu. Kod bierze najnowszą wersję — jeśli nie wstawi się nowej wersji, organizatorzy i uczestnicy dalej widzą i akceptują starą.","src/lib/db/schema.ts:147-169; src/lib/legal/seed-documents.ts","Sprawdź zawartość: wrangler d1 execute wyjazdo --remote --command ""SELECT type, version, substr(body,1,200) FROM legal_documents ORDER BY type, version DESC"". Jeśli najnowsza wersja zawiera placeholdery — uruchom seed (effectiveAt + version+1) lub wpisz nowe wiersze ręcznie. Stare wersje zostają jako audit trail dla uczestników którzy wcześniej zaakceptowali.",P0,,
7,B. Legal,Skrzynki rodo@ i kontakt@ wyjazdo.pl muszą być monitorowane,"Treść dokumentów prawnych (seed-documents.ts:7-8) podaje rodo@wyjazdo.pl i kontakt@wyjazdo.pl jako adresy kontaktowe (RODO wymaga odpowiedzi w 30 dni; kontakt do podpisywania DPA). Te skrzynki muszą istnieć i być realnie czytane.",src/lib/legal/seed-documents.ts:7,"Skonfiguruj skrzynki rodo@wyjazdo.pl i kontakt@wyjazdo.pl (lub aliasy do osobistej skrzynki), upewnij się że ktoś je realnie monitoruje. Jeśli jedna z tych skrzynek miałaby być inna — zmień constants w seed-documents.ts i re-seeduj (patrz #6).",P0,,
8,D. Functional gaps,Protokół URL w cronach,"src/lib/cron/balance-reminders.ts:46 generuje protokół jako process.env.NODE_ENV === ""production"" ? ""https:"" : ""http:"". W Workers scheduled handler process.env.NODE_ENV teoretycznie jest ""production"" po prod buildzie Next.js, ALE warto to zweryfikować empirycznie — jeśli zwraca undefined albo ""development"", maile pójdą z http:// linkami które w niektórych klientach pocztowych dostają strikethrough albo są blokowane. URL jest też używany w tripUrl który klienci klikają.",src/lib/cron/balance-reminders.ts:46; :47; :83,"Uruchom cron raz na live (wrangler triggers invoke wyjazdo --scheduled), wyślij reminder, otwórz otrzymany mail i sprawdź czy link zaczyna się od https://wyjazdo.pl. Jeśli nie — wymuś ""https:"" bezwarunkowo (w prod Worker nie ma sensu inny protokół).",P0,,
9,D. Functional gaps,Monitoring niezawodności wysyłki maili (Resend),"src/lib/email/send.ts:40 — safeSend łapie błąd Resend i tylko loguje console.error. Sekwencja: klient płaci → webhook succeeded → fire-and-forget mail. Jeśli Resend jest down albo API key źle, payment już jest succeeded ale klient nie dostaje confirmation. Mamy już recovery (przycisk ""Wyślij ponownie potwierdzenie"" w dashboardzie, ParticipantsTable.tsx:312), ale brakuje detekcji że coś poszło źle.",src/lib/email/send.ts:40,"Aktywnie monitoruj Cloudflare Workers Tail po launchu na błędy z prefiksem [email]; rozważ dodanie alertingu (Sentry / podobne) gdy częstość się podnosi.",P1,,
10,E. Deployment preflight,Weryfikacja że sekrety nie są w gicie,"`.gitignore` już wyklucza .env* z wyjątkiem .env.development i .env.production (sprawdzone). .dev.vars i .env.local nie są trackowane. Przy nowym deployu warto zrobić ostateczny sanity check.","/.gitignore; .dev.vars; .env.local","Przed deployem uruchom: git ls-files | grep -E '\\.(env|dev\\.vars)' — wynik powinien być pusty (oprócz .dev.vars.example, .env.development, .env.production).",P0,,
